department_id,department_name,manager_id,location_id
1,Implement Viral Markets,1629,3
2,Exploit Scalable Users,819,50
3,Deploy Scalable E-Services,8934,4
4,Syndicate Cross-Media Markets,7470,47
5,Transform Bleeding-Edge Users,5371,37
6,Transition 24/7 Convergence,5649,41
7,Visualize Clicks-And-Mortar Action-Items,1038,7
8,Benchmark 24/365 Initiatives,7415,23
9,Harness Collaborative Experiences,6297,8
10,Benchmark Distributed Models,3006,24
11,Maximize Front-End Experiences,7426,22
12,Aggregate Cross-Platform Models,5175,18
13,Synergize Next-Generation Interfaces,9592,3
14,Morph Value-Added E-Services,915,2
15,Grow Vertical Synergies,6932,27
16,Embrace Compelling Functionalities,739,29
17,Scale Clicks-And-Mortar Solutions,4968,31
18,E-Enable Vertical E-Services,592,47
19,Repurpose Rich Content,2832,24
20,Utilize Killer Experiences,1118,39
21,Unleash 24/365 Architectures,6100,25
22,Iterate Mission-Critical Roi,3599,29
23,Innovate Magnetic Methodologies,9852,20
24,E-Enable Customized Bandwidth,7507,45
25,Matrix Out-Of-The-Box Experiences,1637,20
26,Brand Revolutionary Technologies,1553,18
27,Engage Impactful Platforms,2342,40
28,Disintermediate Leading-Edge Channels,677,47
29,Reinvent Out-Of-The-Box Bandwidth,3221,11
30,Seize Cross-Platform Technologies,8241,5
31,Synthesize Wireless Info-Mediaries,486,20
32,Incentivize Revolutionary Networks,1344,23
33,Grow Turn-Key Technologies,8683,21
34,Repurpose Extensible Technologies,7841,40
35,Streamline Synergistic Systems,7528,14
36,Visualize Out-Of-The-Box Technologies,1503,47
37,Aggregate Web-Enabled Functionalities,1645,40
38,Synergize Dynamic Vortals,9422,31
39,Orchestrate Open-Source Relationships,493,10
40,Deliver Cross-Media Systems,933,42
41,Brand Distributed Niches,6373,12
42,Aggregate Granular E-Tailers,9767,9
43,Syndicate Transparent Schemas,4450,21
44,Integrate Customized Communities,7034,24
45,Synergize E-Business Systems,8658,31
46,Engage Plug-And-Play Supply-Chains,3195,3
47,Reinvent Frictionless Markets,5044,14
48,Engage Customized Action-Items,6897,11
49,Envisioneer Holistic Platforms,6029,25
50,Incentivize Vertical Schemas,1238,21
51,Monetize Best-Of-Breed Web-Readiness,9213,22
52,Incentivize Wireless Mindshare,2514,25
53,Cultivate Mission-Critical Channels,210,46
54,Benchmark Transparent Users,2720,43
55,Reinvent Leading-Edge Methodologies,7111,28
56,Evolve Transparent Channels,4839,14
57,Cultivate User-Centric Niches,9308,1
58,Evolve Transparent Initiatives,4584,49
59,Transition Best-Of-Breed Schemas,210,49
60,Incubate Impactful Supply-Chains,3226,46
61,Deliver Integrated Infrastructures,4962,23
62,Exploit Back-End Convergence,4996,41
63,Brand Collaborative Technologies,1136,40
64,Integrate Granular Niches,5317,1
65,Re-Contextualize Magnetic E-Services,7948,33
66,Matrix Virtual Relationships,7243,33
67,Harness Seamless Interfaces,439,27
68,Synthesize B2B Web Services,4081,47
69,Synergize Integrated Initiatives,5472,4
70,Envisioneer Compelling Platforms,8105,8
71,Integrate Collaborative Methodologies,9668,16
72,Utilize Clicks-And-Mortar Synergies,9428,17
73,Innovate Killer Channels,1901,3
74,Repurpose Turn-Key Infrastructures,3223,44
75,Streamline End-To-End E-Tailers,9479,45
76,Utilize Mission-Critical Web Services,5545,22
77,Engineer Proactive Platforms,9498,38
78,Repurpose Real-Time Channels,9750,4
79,Facilitate Extensible Functionalities,7726,1
80,Incubate World-Class Relationships,4902,6
81,Exploit User-Centric Experiences,8505,41
82,Morph Efficient Systems,7142,23
83,Extend Cross-Media Synergies,1204,32
84,Reinvent Out-Of-The-Box Users,8950,29
85,Deploy Viral Relationships,6336,14
86,Integrate Best-Of-Breed Experiences,7827,31
87,Scale Strategic Action-Items,737,26
88,Monetize Mission-Critical Partnerships,1286,14
89,Disintermediate Next-Generation Users,8135,31
90,Visualize Vertical Systems,5825,45
91,Streamline Distributed Channels,6909,26
92,E-Enable Proactive Convergence,7836,49
93,Redefine Interactive Convergence,6724,45
94,E-Enable Intuitive Partnerships,4073,11
95,Incubate Efficient Convergence,8382,16
96,Disintermediate Customized Users,3902,38
97,Enable User-Centric Applications,3989,11
98,Incentivize Efficient Supply-Chains,2968,43
99,Productize Back-End Models,2244,11
100,Empower Strategic Paradigms,4118,14
