location_id,street_address,postal_code,city,state_province,country_id
1,7792 Shannon Curve Apt. 122,15358,South Patrick,Oregon,MY
2,756 Solomon Overpass,79884,Phamland,Colorado,ER
3,688 Williams Course Apt. 299,91764,Lake Angela,Florida,MG
4,5543 Dawn Camp,14564,North Robertoton,New Mexico,LB
5,921 Barrett Light Suite 445,49343,Alextown,Louisiana,HT
6,899 Angela Wells Suite 770,96482,Barnesborough,Ohio,MR
7,291 Hughes Hills,33600,Georgehaven,Pennsylvania,MZ
8,974 Christian Stravenue Apt. 484,97167,South Benjaminland,Colorado,BB
9,51208 Washington Trail,37794,Dorisborough,Rhode Island,MG
10,85341 Bean Shoals,10050,Stephanieville,Massachusetts,YE
11,6571 Patterson Island Suite 955,36971,South Teresaburgh,Tennessee,JP
12,2961 Rodriguez Causeway,01919,New Kyleburgh,Texas,BH
13,70320 Chen Plaza,01999,New Natasha,Hawaii,DZ
14,819 Watkins Pass Apt. 623,44379,North Travishaven,Illinois,MV
15,71009 Butler View,72049,South Kiarachester,Kansas,AE
16,170 Rivera Gateway Apt. 359,65468,North Steven,Mississippi,PE
17,5618 Williams Avenue Apt. 258,08350,Scottmouth,Hawaii,SZ
18,6912 Williams Radial Suite 084,12915,Hillmouth,Alabama,RS
19,6817 Justin Turnpike Apt. 563,33901,West Lisaside,Virginia,MH
20,797 Dominic Underpass Suite 165,45497,New Emily,Rhode Island,NR
21,48230 Johnson Circle Apt. 839,03514,West Christopherland,Pennsylvania,UY
22,43426 Tristan Turnpike Apt. 437,28113,New Rose,Nebraska,MW
23,1183 Stephen Locks,34310,East Jenniferfurt,Delaware,SZ
24,488 Chandler Roads,87030,North Christopherview,Tennessee,AF
25,00622 Dawn Isle Apt. 453,55583,East Richard,California,ST
26,055 William Corners Suite 306,75695,East Jeffery,West Virginia,DJ
27,3490 Baker Stravenue,08386,Smithburgh,Illinois,BG
28,585 Anderson Plain,12351,Port Kevinberg,Tennessee,SM
29,96750 Patton Meadows,69295,East David,Idaho,RO
30,2144 Peterson Roads,90806,East Victoria,Illinois,TV
31,540 Wall Spring Suite 978,27179,Port Tiffanymouth,Tennessee,ML
32,8548 Pacheco Spring,51193,Bowmanmouth,West Virginia,TW
33,06604 John Parkways,85430,South Brittanyport,North Dakota,AR
34,9061 Rodriguez Trafficway Suite 714,79237,Hernandezton,Illinois,BG
35,05832 Willie Loop,40024,North Jakeborough,Rhode Island,ZM
36,067 Renee Ports Suite 832,24829,Port Melanie,Tennessee,RS
37,9027 King Well Apt. 607,49293,East Amandaside,Massachusetts,HN
38,64197 Nash Isle,00753,West Brandonton,South Dakota,TL
39,8608 Gabrielle Way,80791,Lake Coreyfurt,South Carolina,AO
40,8246 Torres Gateway Suite 930,70413,Danielberg,Connecticut,MN
41,1928 Pamela Pike Apt. 610,55548,Lake Travis,Alaska,MZ
42,178 Mccullough Shoal,40949,Martinezbury,North Carolina,SN
43,7956 Romero Street Apt. 024,96791,Port Connieland,Kentucky,SB
44,348 Krista Island,75936,New Karen,Georgia,EG
45,85337 Stafford Orchard,20920,Vanessamouth,Wisconsin,ZW
46,7586 Crawford Port Apt. 313,25458,Williamsburgh,Wisconsin,MK
47,4430 Mitchell Shoals,83068,Huffmanbury,Maryland,BF
48,35221 Gonzales Haven Apt. 135,51878,Port Christinahaven,Iowa,PS
49,81964 Rhonda Road Apt. 349,41492,Taylorland,California,RU
50,6103 Lawson Street Apt. 482,31445,Port Alexis,Maryland,IE
